"","playerID","Player","W","L","G","GS","CG","SHO","SV","IPouts","IP","H","ER","HR","BB","SO","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","WHIP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","tsn_fireman_of_the_year","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","pitching_triple_crown","rolaids_relief_man_award","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","tsn_pitcher_of_the_year","cy_young_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","tsn_reliever_of_the_year","comeback_player_of_the_year","branch_rickey_award","reliever_of_the_year_award","triple_crown","tsn_guide_mvp","outstanding_dh_award","wein","votedBy","Steroids","nice_guy_awards","war","all_stars","years_played","StarterReliever"
"1","abbotji01","Jim Abbott",87,108,263,254,31,6,0,5022,1674,1779,791,154,620,888,4.25,30,53,32,11,7211,5,880,70,47,200,1.43,"CAL","AL",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,1,19.7,0,11,"Starter"
"2","adamsba01","Babe Adams",194,140,482,355,206,44,15,8986,2995.33333333333,2841,917,68,430,1036,2.76,NA,26,47,2,11947,89,1129,NA,NA,NA,1.09,"PIT","NL",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,50.2,0,19,"Starter"
"3","aguilri01","Rick Aguilera",86,81,732,89,10,0,318,3874,1291.33333333333,1233,512,138,351,1030,3.57,42,53,36,10,5391,557,568,52,33,94,1.23,"MIN","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,20.6,3,19,"Reliever"
"4","akerja01","Jack Aker",47,45,495,0,0,0,123,2238,746,679,272,64,274,404,3.28,68,13,40,0,3144,321,312,NA,NA,NA,1.28,"KC1","AL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,8.7,0,14,"Reliever"
"5","alexado01","Doyle Alexander",194,174,561,464,98,18,3,10103,3367.66666666667,3376,1406,324,978,1528,3.76,60,74,53,10,14162,56,1541,116,97,NA,1.29,"BAL","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,34.8,1,23,"Starter"
"6","alexape01","Pete Alexander",373,208,696,599,437,90,32,15570,5190,4868,1476,164,951,2198,2.56,NA,39,70,1,20928,80,1851,NA,NA,NA,1.12,"CHN","NL",17,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0,0,116.2,0,21,"Starter"
"7","allenjo02","Johnny Allen",142,75,352,241,109,17,18,5851,1950.33333333333,1849,813,104,738,1070,3.75,NA,68,38,5,8292,68,924,NA,NA,NA,1.33,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,27.9,1,15,"Starter"
"8","altroni01","Nick Altrock",83,75,218,161,128,16,7,4542,1514,1455,445,16,272,425,2.65,NA,31,22,1,6024,46,600,NA,NA,NA,1.14,"WS1","AL",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0,NA,8.7,0,21,"Reliever"
"9","appieke01","Kevin Appier",169,137,414,402,34,12,0,7786,2595.33333333333,2425,1078,232,933,1994,3.74,51,106,79,7,10958,2,1168,67,72,207,1.29,"KCA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,54.9,1,18,"Starter"
"10","bahnsst01","Stan Bahnsen",146,149,574,327,73,16,20,7587,2529,2440,1013,223,924,1359,3.6,59,89,34,3,10701,90,1127,NA,NA,NA,1.33,"MON","AL",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0,0,23.9,0,19,"Starter"
