"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","votedBy","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","war","all_stars","Pos"
"1","aaronha01","Hank Aaron",3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,NA,32,21,121,328,"ML1","NL",24,3,1,1,2,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.305,0.373,2294,0.555,"0",1,143,25,"RF"
"2","abreubo01","Bobby Abreu",2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,"PHI","NL",2,1,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.291,0.395,1549,0.475,"0",0,60.2,2,"RF"
"3","adamsbo03","Bobby Adams",1281,4019,591,1082,188,49,37,303,67,NA,414,447,NA,17,78,NA,62,"CIN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.269,0.334,808,0.368,"0",0,15.7,0,"3B"
"4","adamssp01","Sparky Adams",1424,5557,844,1588,249,48,9,394,154,NA,453,223,NA,28,136,NA,NA,"CHN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.286,0.335,1282,0.353,"0",0,17.5,0,"2B"
"5","ageeto01","Tommie Agee",1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,"NYN","NL",2,2,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.255,0.318,672,0.412,"0",0,25.4,2,"CF"
"6","allenbe01","Bernie Allen",1139,3404,357,815,140,21,73,352,13,16,370,424,52,8,24,17,60,"MIN","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.239,0.312,581,0.357,"0",0,9.3,0,"2B"
"7","allendi01","Dick Allen",1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,"PHI","NL",7,0,0,1,1,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.292,0.377,1098,0.534,"0",0,58.7,7,"1B"
"8","alleyge01","Gene Alley",1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,"PIT","NL",2,2,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.254,0.306,760,0.354,"0",0,24.2,2,"SS"
"9","allisdo01","Doug Allison",318,1407,236,382,44,10,2,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,"HAR","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Veterans",0.271,NA,326,0.321,"0",0,6.9,0,"C"
"10","alomaro01","Roberto Alomar",2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,97,206,"TOR","AL",12,10,0,0,0,0,4,0,"0",0,0,1,1,0,0,0,0,0,0,0,NA,"1","BBWAA",0.3,0.366,1930,0.443,"0",0,67,12,"2B"
"11","alomasa02","Sandy Alomar",1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132,"CLE","AL",6,1,0,0,0,0,0,0,"1",0,0,0,1,0,0,0,0,0,0,0,NA,"0","BBWAA",0.273,0.306,865,0.406,"0",0,13.7,6,"C"
"12","aloufe01","Felipe Alou",2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135,"SFN","NL",3,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.286,0.326,1487,0.433,"0",0,42.2,3,"RF"
"13","alouje01","Jesus Alou",1380,4345,448,1216,170,26,32,377,31,46,138,267,32,30,44,20,143,"HOU","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.28,0.302,988,0.353,"0",0,0.8,0,"RF"
"14","alouma01","Matty Alou",1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101,"SFN","NL",2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.307,0.341,1460,0.381,"0",0,23,2,"CF"
"15","aloumo01","Moises Alou",1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195,"MON","NL",6,0,0,0,0,0,2,0,"0",0,0,0,0,1,0,0,0,0,0,0,NA,"0","BBWAA",0.303,0.369,1342,0.516,"0",0,39.9,6,"LF"
"16","anderbr01","Brady Anderson",1834,6499,1062,1661,338,67,210,761,315,100,960,1190,59,154,74,50,65,"BAL","AL",3,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.256,0.359,1046,0.425,"0",0,35,3,"CF"
"17","anderga01","Garret Anderson",2228,8640,1084,2529,522,36,287,1365,80,47,429,1224,104,8,13,87,197,"ANA","AL",3,0,0,0,0,0,2,0,"0",0,0,0,1,0,0,0,0,0,0,0,NA,"0","BBWAA",0.293,0.323,1684,0.461,"0",0,25.7,3,"LF"
"18","ankieri01","Rick Ankiel",653,1921,260,462,101,10,76,251,21,12,162,555,13,12,8,12,31,"SLN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.24,0.301,275,0.422,"0",0,5.5,0,"CF"
"19","ansonca01","Cap Anson",2524,10281,1999,3435,582,142,97,2075,NA,NA,984,330,NA,NA,NA,NA,NA,"CHN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Old Timers",0.334,NA,2614,0.447,"0",0,94.4,0,"1B"
"20","aparilu01","Luis Aparicio",2601,10230,1335,2677,394,92,83,791,506,136,736,742,22,27,161,76,184,"CHA","AL",15,9,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.262,0.306,2108,0.343,"0",0,55.9,13,"SS"
"21","applilu01","Luke Appling",2422,8856,1319,2749,440,102,45,1116,179,108,1302,528,NA,11,74,NA,NA,"CHA","AL",7,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.31,0.397,2162,0.398,"0",0,77.6,7,"SS"
"22","archeji01","Jimmy Archer",847,2646,246,660,106,34,16,296,36,NA,124,283,NA,19,93,NA,NA,"CHN","NL",9,0,0,0,0,0,0,0,"0",9,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.249,0.279,504,0.333,"0",0,10.3,0,"C"
"23","ashburi01","Richie Ashburn",2189,8365,1322,2574,317,109,29,586,234,NA,1198,571,NA,43,112,NA,83,"PHI","NL",5,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.308,0.393,2119,0.382,"0",0,64.2,6,"CF"
"24","aurilri01","Rich Aurilia",1652,5721,745,1576,301,22,186,756,23,18,450,861,22,24,36,47,140,"SFN","NL",1,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.275,0.327,1067,0.433,"0",0,18.2,1,"SS"
