"","...1","playerID","Player","votedBy","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","tsn_fireman_of_the_year","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","pitching_triple_crown","rolaids_relief_man_award","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","tsn_pitcher_of_the_year","cy_young_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","tsn_reliever_of_the_year","comeback_player_of_the_year","branch_rickey_award","reliever_of_the_year_award","triple_crown","tsn_guide_mvp","outstanding_dh_award","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","Pos","war","all_stars"
"1",1,"adcocjo01","Joe Adcock","Veterans",1959,6606,823,1832,295,35,336,1122,20,NA,594,1059,NA,17,52,NA,223,"ML1","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.277,0.336,1166,0.485,0,0,"1B",33.5,2
"2",2,"ageeto01","Tommie Agee","Veterans",1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,"NYN","NL",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.255,0.318,672,0.412,0,0,"CF",25.4,2
"3",3,"ainsmed01","Eddie Ainsmith","Veterans",1078,3048,299,707,108,54,22,317,86,NA,263,NA,NA,12,99,NA,NA,"WS1","AL",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.232,0.287,523,0.324,0,0,"C",6.4,0
"4",4,"alfoned01","Edgardo Alfonzo","Veterans",1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,"NYN","NL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.284,0.355,1086,0.425,0,0,"3B",28.7,1
"5",5,"alleyge01","Gene Alley","Veterans",1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,"PIT","NL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.306,760,0.354,0,0,"SS",24.2,2
"6",6,"allisbo01","Bob Allison","Veterans",1541,5032,811,1281,216,53,256,796,84,50,795,1033,30,34,25,35,115,"MIN","AL",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.255,0.356,756,0.471,0,0,"RF",34.2,3
"7",7,"alomasa01","Sandy Alomar","Veterans",1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,18,58,"CAL","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.245,0.285,1010,0.288,0,0,"2B",10.5,1
"8",8,"alomasa02","Sandy Alomar","Veterans",1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132,"CLE","AL",6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.273,0.306,865,0.406,0,0,"C",13.7,6
"9",9,"alonsyo01","Yonder Alonso","BBWAA",1072,3362,391,872,181,2,100,426,22,8,366,648,29,16,1,28,94,"SDN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.259,0.332,589,0.404,0,0,"1B",8.1,1
"10",10,"aloufe01","Felipe Alou","Veterans",2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135,"SFN","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.286,0.326,1487,0.433,0,0,"RF",42.2,3
"11",11,"alouma01","Matty Alou","Veterans",1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101,"SFN","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.307,0.341,1460,0.381,0,0,"CF",23,2
"12",12,"aloumo01","Moises Alou","Veterans",1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195,"MON","NL",6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0.303,0.369,1342,0.516,0,0,"LF",39.9,6
"13",13,"altuvjo01","Jose Altuve","BBWAA",1578,6305,986,1935,379,29,192,696,279,81,509,840,43,64,26,46,171,"HOU","AL",8,1,0,1,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.307,0.361,1335,0.468,0,0,"2B",46.5,8
"14",14,"amaroru01","Ruben Amaro","Veterans",940,2155,211,505,75,13,8,156,11,14,227,280,24,10,47,12,53,"PHI","NL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.234,0.303,409,0.292,0,0,"SS",2.3,0
"15",15,"anderbr01","Brady Anderson","Veterans",1834,6499,1062,1661,338,67,210,761,315,100,960,1190,59,154,74,50,65,"BAL","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.359,1046,0.425,0,0,"CF",35,3
"16",16,"anderga01","Garret Anderson","Veterans",2228,8640,1084,2529,522,36,287,1365,80,47,429,1224,104,8,13,87,197,"ANA","AL",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.293,0.323,1684,0.461,0,0,"LF",25.7,3
"17",17,"andruel01","Elvis Andrus","BBWAA",1947,7398,1019,1997,360,50,96,731,335,111,586,1135,7,53,103,56,186,"TEX","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.27,0.322,1491,0.371,0,0,"SS",33.5,2
"18",18,"archeji01","Jimmy Archer","Veterans",847,2646,246,660,106,34,16,296,36,NA,124,283,NA,19,93,NA,NA,"CHN","NL",9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.249,0.279,504,0.333,0,0,"C",10.3,0
"19",19,"arenano01","Nolan Arenado","BBWAA",1384,5268,803,1520,338,31,299,968,23,18,464,852,69,32,5,61,156,"COL","NL",7,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.289,0.346,852,0.535,0,0,"3B",52.2,7
"20",20,"armasto01","Tony Armas","Veterans",1432,5164,614,1302,204,39,251,815,18,20,260,1201,37,15,11,52,149,"OAK","AL",2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.252,0.287,808,0.453,0,0,"RF",15.8,2
