last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Wheeler, Zack,554430,42.6,18.1,0.0,24.9,3.7,10.7,0.0,0.0
Mahle, Tyler,641816,53.0,0.0,4.8,26.3,0.0,0.0,15.9,0.0
Castillo, Luis,622491,28.5,23.6,0.0,17.4,30.5,0.0,0.0,0.0
Buehler, Walker,621111,44.4,7.4,16.4,13.8,4.8,13.2,0.0,0.0
Ray, Robbie,592662,59.2,0.3,0.0,30.8,3.6,6.1,0.0,0.0
Alcantara, Sandy,645261,21.6,28.2,0.0,24.1,23.5,2.6,0.0,0.0
Wainwright, Adam,425794,9.5,28.2,22.1,0.0,6.4,33.8,0.0,0.0
Berríos, José,621244,26.7,29.6,0.0,0.0,13.2,30.5,0.0,0.0
Montas, Frankie,593423,29.1,29.2,6.5,12.9,0.0,0.0,22.4,0.0
Gausman, Kevin,592332,52.7,0.0,0.0,6.2,5.6,0.0,35.5,0.0
Morton, Charlie,450203,36.0,13.5,8.5,0.0,5.3,36.7,0.0,0.0
Manaea, Sean,640455,0.0,60.0,0.0,15.0,24.3,0.7,0.0,0.0
Nola, Aaron,605400,37.5,14.1,1.5,0.0,19.8,27.0,0.0,0.0
Giolito, Lucas,608337,43.9,0.0,0.0,21.5,31.8,2.9,0.0,0.0
Cole, Gerrit,543037,47.1,0.8,0.0,22.2,14.2,15.7,0.0,0.0
Lyles, Jordan,543475,39.5,8.9,2.8,23.2,7.3,18.3,0.0,0.0
Cease, Dylan,656302,46.8,0.0,0.0,30.6,7.4,15.2,0.0,0.0
Musgrove, Joe,605397,20.3,5.1,18.2,27.8,4.8,23.8,0.0,0.0
Eovaldi, Nathan,543135,42.3,0.0,12.5,13.8,0.0,18.8,12.7,0.0
Gibson, Kyle,502043,12.7,34.0,14.9,16.0,13.3,9.1,0.0,0.0
Scherzer, Max,453286,46.7,0.0,9.4,19.2,14.9,9.8,0.0,0.0
Flexen, Chris,623167,40.0,0.0,29.4,0.0,15.3,15.3,0.0,0.0
Woodruff, Brandon,605540,33.7,26.7,0.0,8.6,14.2,16.8,0.0,0.0
Hendricks, Kyle,543294,17.8,42.8,0.0,0.0,27.7,11.7,0.0,0.0
McCullers Jr., Lance,621121,0.0,34.0,1.5,25.9,13.7,24.9,0.0,0.0
Márquez, Germán,608566,45.5,7.4,0.0,26.9,2.1,18.2,0.0,0.0
Urías, Julio,628711,47.6,0.9,0.0,0.0,17.3,34.2,0.0,0.0
Darvish, Yu,506433,22.1,8.3,34.0,22.7,0.0,8.2,4.8,0.0
Corbin, Patrick,571578,28.3,28.1,0.3,38.2,4.2,0.9,0.0,0.0
Pivetta, Nick,601713,51.8,0.1,0.0,21.6,2.7,23.7,0.0,0.0
Stroman, Marcus,573186,2.8,42.3,16.0,22.2,0.0,0.7,16.1,0.0
Keuchel, Dallas,572971,2.1,37.9,24.4,7.0,28.6,0.0,0.0,0.0
Rodriguez, Eduardo,593958,40.0,11.2,17.7,8.1,23.0,0.0,0.0,0.0
Ryu, Hyun Jin,547943,35.2,0.8,25.5,0.5,25.4,12.6,0.0,0.0
Irvin, Cole,608344,40.5,19.2,0.1,14.8,22.0,3.3,0.0,0.0
Happ, J.A.,457918,53.9,17.6,0.0,15.1,12.1,1.3,0.0,0.0
