"","WAR"
"abbotji01",19.7
"adamsba01",50.2
"akerja01",8.7
"alexape01",116.2
"allenjo02",27.9
"bahnsst01",23.9
"beckejo02",35.3
"beckro01",11.3
"bedrost01",15.4
"bellhe01",7.2
"bendech01",42.8
"benitar01",17.4
"bentola01",19.8
"bibbyji01",18.6
"blackew01",27.1
"bluevi01",44.9
"boddimi01",31.3
"bondto01",61
"brechha01",41.3
"bridgto01",51.6
"brownke01",68.2
"brownmo01",57.2
"buehrma01",60
"bunniji01",60.4
"burdele01",25.5
"bushjo01",31.5
"camniho01",19.5
"campbbi02",12.4
"carltst01",84.1
"carpech01",35.2
"carrocl02",18.3
"chandsp01",22.9
"clarkjo01",85
"clemero02",138.7
"coneda01",61.6
"coombja01",23.1
"coopemo01",31.9
"coopewi01",48.9
"covelst01",66.6
"crowdal01",29
"cuellmi01",29.2
"darliro01",18.8
"daviscu01",37.9
"davisma01",7.4
"deandi01",43.9
"dennyjo01",31.1
"derripa01",39
"donovbi01",44.7
"drabedo01",27.6
"drysddo01",61.3
"earnsge01",20.8
"eckerde01",62.3
"ehmkeho01",39.8
"faberre01",67.7
"facero01",21
"falkecy01",22.5
"fellebo01",65.2
"ferrewe01",48.8
"fingero01",25
"finlech01",58.3
"fisheed02",10.7
"fitzsfr01",33.6
"flanami01",25.5
"fordwh01",53.6
"forscbo01",18.9
"francjo01",23.6
"gagneer01",11.7
"gibsobo01",81.7
"giustda01",16.1
"glavito02",73.9
"gomezle01",43.2
"goodedw01",48.2
"gordoto01",35
"gossari01",41.6
"grantmu01",19.3
"grimebu01",46.7
"gromest01",22.6
"grovele01",113.3
"guidrro01",47.9
"haddiha01",29.9
"haineje01",35.7
"hallabi01",15.9
"hallaro01",65.4
"hamptmi01",20.7
"hardeme01",48.5
"henketo01",23
"hentgpa01",33
"hernali01",24.8
"hernawi01",16.6
"hershor01",51.4
"hillejo01",31
"hoffmtr01",28.1
"holtzke01",27
"hootobu01",36.4
"houttar01",11.2
"hoytwa01",54.1
"hraboal01",10
"hubbeca01",68.8
"hudsoti01",56.6
"hunteca01",36.3
"jacksda02",18
"jenkife01",82.2
"johnsra05",103.5
"johnswa01",152.3
"johnto01",62.1
"jonesdo01",21.4
"jonesra01",18.8
"jonesto02",10.3
"jossad01",47.7
"kaatji01",45.2
"keefeti01",89.1
"keyji01",49
"kindeel01",30.9
"koufasa01",53.1
"kremera01",26.6
"langsma01",50
"larsedo01",12.5
"lawve01",26
"leecl02",42.5
"leiteal01",42.5
"lemonbo01",37.5
"leonade01",25.7
"leonadu02",51.7
"lidgebr01",7.8
"linceti01",19.9
"lolicmi01",47.9
"lonboji01",14.7
"lowede01",33.1
"lucasre01",32.7
"luquedo01",43.8
"lylesp01",22.8
"lyonste01",66.8
"maddugr01",104.8
"maglisa01",34.2
"maricju01",61.8
"marquru01",34.7
"marshmi01",17.2
"martipe02",86.1
"mathech01",100.4
"matlajo01",38.9
"maysca01",43.6
"mcdanli01",29
"mcdowja01",27.8
"mcdowsa01",43.1
"mcgratu01",21
"mclaide01",20.5
"mcnalda01",24.8
"mesajo01",11.4
"messean01",37.6
"montgje01",20.5
"morrija02",43.6
"moyerja01",50
"mussimi01",82.8
"myersra01",15.1
"nathajo01",26.4
"nehfar01",24.7
"nenro01",15.1
"newcodo01",30.2
"newhoha01",60
"newsobo01",51.3
"niekrjo01",28.7
"niekrph01",97
"nolanga01",25.6
"nomohi01",21.8
"oswalro01",49.9
"palmeji01",67.6
"papeljo01",23.3
"peavyja01",37.2
"pennohe01",44.7
"perraro01",18.9
"perryga01",93
"perryji01",38.4
"pettian01",60.7
"piercbi02",53.3
"planked01",87.5
"podrejo01",28.2
"portebo01",17.2
"putzjj01",13.1
"quiseda01",24.6
"radboch01",73.2
"raschvi01",16.2
"reardje01",19
"reuscri01",68.1
"reynoal01",25.7
"rhoderi01",30.1
"righeda01",21.3
"rijojo01",35
"riverma01",56.3
"rixeyep01",57.4
"roberro01",83
"roepr01",34.6
"rogerke01",50.5
"rogerst01",45.1
"rommeed01",50.3
"rootch01",37.5
"rowesc01",34.3
"ruckena01",47.1
"ruffire01",55.4
"rusieam01",65.2
"russeje01",14.8
"ryanno01",83.6
"saberbr01",58.9
"sainjo01",24.8
"santajo01",24.8
"schilcu01",80.5
"schmija01",31.7
"schumha02",26.9
"scottmi03",24
"seaveto01",106
"sewelri01",25.1
"shantbo01",32.1
"sherdbi01",27.7
"shockur01",54.7
"smithle02",29.3
"smoltjo01",66.4
"spahnwa01",92.5
"stewada01",26.1
"stiebda01",56.5
"stonest01",18.6
"stottme01",40.7
"stottto01",21
"sutclri01",31.2
"suttebr01",24.5
"suttodo01",68.3
"tananfr01",57.1
"tiantlu01",65.6
"timlimi01",19.1
"troutdi01",45.2
"tudorjo01",34.1
"turneji01",10.3
"uhlege01",45.1
"valenfe01",37.4
"valvejo01",11.4
"vanceda01",62.9
"vandejo01",26.7
"violafr01",47.1
"vuckope01",16.7
"wadderu01",60.9
"wagnebi02",27.8
"wakefti01",34.5
"walberu01",38.9
"walshed01",63.8
"waltebu01",46.5
"warnelo01",42.1
"welchbo01",43.4
"wellsda01",53.6
"wettejo01",19.1
"whiteea01",36.1
"willivi01",67
"woodjo02",29.6
"woodke02",26.8
"woodwi01",52.2
"worreto01",11.1
"wyattwh01",22.1
"wynnea01",51.5
"youngcy01",165.6
"zachrpa01",11.8
"zahnge01",20.5
"zambrca01",38.3
"zitoba01",33.1
