"player","war","all_stars"
"aasedo01",15.1,1
"abadfe01",3.2,0
"abbotgl01",5.3,0
"abbotji01",19.7,0
"abbotpa01",4.5,0
"abernte02",16.6,0
"accarje01",1.9,0
"aceveju01",3.1,0
"ackerji01",5.5,0
"adamsba01",50.2,0
"adamsmi03",10.1,0
"adamste01",4.5,0
"affelje01",9.7,0
"agostju01",1.3,0
"aguilri01",20.6,3
"aguirha01",21,2
"akerja01",8.7,0
"alberma01",2.7,0
"aldresc01",-2.3,0
"alexado01",34.8,1
"alexape01",116.2,0
"alfonan01",3.7,0
"allenjo02",27.9,1
"allenne01",7,0
"altroni01",8.7,0
"alvarjo02",4.5,0
"alvarwi01",25,1
"amesre01",28.9,0
"anderbr02",10.9,0
"anderbr04",11.2,0
"anderla02",13.9,0
"andreiv01",19.1,0
"andujjo01",16.7,4
"antonjo02",31.2,6
"appieke01",54.9,1
"applepe01",8,0
"aquinlu01",10.5,0
"archech01",13.6,2
"armasto02",8.3,0
"armstsh01",1,0
"arrieja01",21.2,1
"arrigge01",2,0
"arroybr01",24.7,1
"ashbyan01",21.5,2
"assenpa01",13.1,0
"astacpe01",28.3,0
"augusje01",4.2,0
"aukerel01",15.8,0
"averyst01",12.5,1
"avilalu01",4.4,0
"axforjo01",4,0
"ayalalu01",7.9,0
"aybarma01",-1.4,0
"ayersdo01",14.7,0
"baezda01",5.8,1
"bagbyji02",8.9,2
"bahnsst01",23.9,0
"bailebi01",-2.3,0
"baileho02",6.1,0
"bairdo01",7,0
"bakersc02",15.8,0
"baldwja01",9.5,1
"balfogr01",9.2,1
"bankhsc01",11.3,0
"bankswi01",0.8,0
"bannifl01",26.4,1
"barbest01",18.1,2
"barkele01",13.3,1
"barneja01",-0.6,0
"barneje01",21.4,0
"barnevi01",9.7,0
"barrere01",12.7,1
"barrji01",30.8,0
"bassan01",3.9,0
"bastaan01",2.8,0
"batismi01",14.5,0
"bauertr01",21.4,1
"baumafr01",3.4,0
"bautide01",-1,0
"bautijo01",0.2,0
"beckbo01",4.5,0
"beckejo02",35.3,3
"beckro01",11.3,3
"bedarer01",17.4,0
"bedroca01",1.7,0
"bedrost01",15.4,1
"beggsjo01",9.9,0
"beimejo01",6.7,0
"belchti01",26.7,0
"belinst01",5.3,0
"belisma01",7.8,0
"bellga01",14.4,4
"bellhe01",7.2,3
"bendech01",42.8,0
"benesan01",31.2,1
"bengera01",14.9,0
"benitar01",17.4,2
"benoijo01",18,0
"bensokr01",13.1,0
"bentlja01",4.2,0
"bentoal01",24.8,2
"bentola01",19.8,0
"bentoru01",18,0
"bereja01",2.9,1
"berenju01",10.1,0
"bernhbi01",17.7,0
"betande01",11.2,4
"betanra01",14.1,0
"bettshu01",13.1,0
"bibbyji01",18.6,1
"bielemi01",7.6,0
"billija01",9.9,1
"birddo01",9.1,0
"blackbu02",21.1,0
"blackew01",27.1,6
"blaehge01",25.1,0
"blairwi01",3.7,0
"blakesh01",11.7,0
"blantjo01",12.6,0
"blasiwa01",-3.3,0
"blassst01",7,1
"blevije01",6.3,0
"bluevi01",44.9,6
"blylebe01",96.1,2
"boddimi01",31.3,1
"boehrbr01",4.1,0
"boevejo01",5.5,0
"bohanbr01",7.9,0
"bolinbo01",16.8,0
"bondeje01",5.2,0
"bondto01",61,0
"bonesri01",6.9,1
"bonhabi01",18,0
"bonhati01",24.2,2
"borbope01",4.9,0
"borbope02",0.8,0
"borlato02",0.6,0
"borowha01",15.6,2
"borowjo01",3.6,0
"bosioch01",24.4,0
"boskish01",0.4,0
"bosmadi01",11.4,0
"bottari01",6.2,1
"botteke01",7,1
"boutoji01",9.5,1
"bowmajo01",4.1,0
"boxbebr01",4.5,1
"boydoi01",17.8,0
"boyerbl01",-1.5,0
"brachbr01",5.5,1
"bradfch01",10.1,0
"brancra01",16.5,3
"branded01",27.5,0
"brantje01",11.6,1
"braxtga01",10.8,0
"brazlal01",21.4,0
"brechha01",41.3,2
"breitte01",51.8,0
"breslcr01",6.3,0
"brettke01",12.6,1
"breweji01",15.7,1
"bridgto01",51.6,6
"brilene01",20.4,0
"brittza01",13.6,2
"brocado01",10.4,0
"brosnji01",14.2,0
"broweji01",2.7,0
"brownbu01",12.3,0
"browncl01",20,0
"brownha01",16.8,0
"brownju01",5.1,0
"brownke01",68.2,6
"brownll01",19.6,0
"brownma01",12.1,1
"brownmo01",57.2,0
"brownto05",19.5,1
"broxtjo01",8.6,2
"brunege01",9.7,0
"brusswa01",3.9,0
"buchhcl01",17,2
"buehrma01",60,5
"buffich01",60.7,0
"buhlbo01",28,2
"bumgama01",33.3,4
"bunniji01",60.4,9
"burbada01",16.2,0
"burdele01",25.5,3
"burgmto01",17.5,1
"burkebo01",7.2,0
"burkejo03",21.8,2
"burketi01",12.4,1
"burneaj01",NA,NA
"burnese01",5.9,0
"burrira01",15.1,0
"bushgu01",22,0
"bushjo01",31.5,0
"butchma01",17.8,0
"buzhajo01",11.8,0
"byerlbu01",5.5,0
"byrdati01",0.6,0
"byrdpa01",15.9,1
"byrneto01",6.3,1
"cadargr01",6.7,0
"cadorle01",18.9,0
"cahiltr01",12.2,1
