"","WAR"
"aaronha01",143
"abreubo01",60.2
"ageeto01",25.4
"allendi01",58.7
"alleyge01",24.2
"alomaro01",67
"alomasa02",13.7
"aloufe01",42.2
"alouma01",23
"aloumo01",39.9
"anderga01",25.7
"aparilu01",55.9
"applilu01",77.6
"archeji01",10.3
"aurilri01",18.2
"ausmubr01",16.5
"averiea01",51.5
"baergca01",19.6
"bagweje01",79.9
"baineha01",38.8
"bakerdu01",37
"bakerfr01",62.8
"bancrda01",49.7
"bandosa01",61.5
"bankser01",67.7
"barryja01",25.9
"bartedi01",41.7
"bayja01",24.8
"baylodo01",28.5
"beckegl01",15.6
"belanma01",41
"bellbu01",66.3
"belleal01",40.1
"bellge02",20
"bellja01",37.1
"benchjo01",75.1
"bergewa01",42.5
"berkmla01",51.9
"berrayo01",59.4
"berryke01",15.2
"bicheda01",5.7
"bigbeca01",11.7
"biggicr01",65.5
"blairpa01",37.7
"bluegos01",28.5
"boggswa01",91.4
"bondsba01",162.8
"bondsbo01",57.8
"bonilbo01",30.2
"boonebo01",27.4
"boonebr01",22.8
"bottoji01",35.8
"boudrlo01",63.3
"bowala01",22.8
"boyercl02",27.6
"boyerke01",62.8
"bresnro01",42
"brettge01",88.6
"brocklo01",45.3
"brookhu01",13
"brosisc01",15.7
"buhneja01",23
"bumbral01",24.5
"burgesm01",33.4
"burksel01",49.8
"burleri01",22.9
"burnsge01",39.7
"burroje01",17.7
"bushdo01",39.3
"butlebr01",49.7
"cabreor01",21.3
"callijo01",38.4
"camermi01",46.7
"camildo01",43.3
"caminke01",33.4
"campabe01",53.1
"camparo01",41.8
"cansejo01",42.5
"cardele01",27.2
"carewro01",81.2
"careyma01",55.3
"carribi02",13.2
"cartega01",70.2
"cartejo01",19.5
"casanpa01",1.3
"caseyse01",16.5
"cashno01",52
"castilu01",29.1
"castivi02",19.3
"cavarph01",37
"cedence01",52.9
"cepedor01",50.1
"ceyro01",53.8
"chambch01",27.5
"chancfr01",46
"chapmra01",29.3
"chaseha01",22.9
"chaveer01",38.3
"clarkfr01",67.9
"clarkja01",53.1
"clarkwi02",56.5
"clemero01",94.8
"cobbty01",151.4
"cochrmi01",49.9
"colavro01",44.5
"colemvi01",12.5
"collied01",124.4
"combsea01",44.7
"conceda01",40.1
"coninje01",19.5
"coopece01",36
"coopewa01",27.3
"cramedo01",13.4
"crandde01",28.1
"cravaga01",33
"crawfca02",39.1
"crawfsa01",75.3
"crigelo01",16.1
"cronijo01",64.7
"cruzjo01",54.4
"cuccito01",33.9
"cuddymi01",17.8
"cuyleki01",47.9
"damonjo01",56.3
"danniha01",14.6
"darkal01",43.9
"daubeja01",39.3
"daultda01",22.9
"davalvi01",15.7
"daviser01",36.1
"davisto02",20.5
"dawsoan01",64.8
"decindo01",41.7
"delgaca01",44.4
"dempsri01",25.1
"dentbu01",17.5
"dickebi01",56.4
"dimagdo01",33.6
"dimagjo01",79.2
"dobyla01",56.5
"doerrbo01",51.5
"donlimi01",29
"dooinre01",5.2
"doylela01",45.1
"drewjd01",45.1
"dropowa01",3.3
"duffyhu01",43.1
"duganjo01",9.9
"dunstsh01",11.5
"dyeje01",20.3
"dykesji01",34.7
"dykstle01",42.4
"eckstda01",20.9
"edmonji01",60.4
"edwarjo01",14.7
"elliobo01",51
"ennisde01",30.1
"erstada01",32.3
"evansda01",58.8
"evansdw01",67.2
"eversjo01",47.7
"fernato01",45.3
"fieldce01",17.2
"fieldpr01",23.8
"finlest01",44.2
"fiskca01",68.5
"floodcu01",41.9
"fonsele01",14.1
"fostege01",44.1
"foxne01",49.5
"foxxji01",92.3
"freehbi01",44.8
"fregoji01",48.7
"friscfr01",71.8
"frymatr01",34.4
"furcara01",34.4
"furilca01",34.6
"gaettga01",42.1
"galaran01",31.7
"gantro01",34.1
"garcino01",44.3
"garvest01",38
