"player","war","all_stars"
"aaronha01",143,25
"aasedo01",-0.1,1
"abadfe01",-0.1,0
"abbated01",8.7,0
"abbotgl01",0,0
"abbotji01",-0.1,0
"abbotku01",0.5,0
"abbotpa01",0.2,0
"abernte02",-0.7,0
"abramca01",8.5,0
"abreubo01",60.2,2
"accarje01",-0.1,0
"aceveju01",-0.4,0
"ackerji01",0.1,0
"adairje01",8.4,0
"adamsba01",2.5,0
"adamsbo03",15.7,0
"adamsma01",4.9,0
"adamsmi03",0,0
"adamssp01",17.5,0
"adamste01",-0.4,0
"adcocjo01",33.5,2
"adriaeh01",1,0
"affelje01",0,0
"ageeto01",25.4,2
"agostju01",-0.1,0
"aguaylu01",2.7,0
"aguilje01",4.1,1
"aguilri01",1.2,3
"aguirha01",-3.2,2
"ainsmed01",6.4,0
"akerja01",-0.7,0
"alberma01",-0.3,0
"aldremi01",8.8,0
"aldresc01",0,0
"alexado01",0.3,1
"alexama02",-2.3,0
"alexape01",3.1,0
"alfonan01",0,0
"alfoned01",28.7,1
"alicelu01",11.9,0
"allenbe01",9.3,0
"allendi01",58.7,7
"allenet01",7.6,0
"allenjo02",-1.4,1
"allenne01",0,0
"alleyge01",24.2,2
"allisbo01",34.2,3
"allisdo01",6.9,0
"almadme01",1.1,0
"almonab01",1.1,0
"almonbi01",4.7,0
"alomaro01",67,12
"alomasa01",10.5,1
"alomasa02",13.7,6
"alonsyo01",8.1,1
"aloufe01",42.2,3
"alouje01",0.8,0
"alouma01",23,2
"aloumo01",39.9,6
"altroni01",0.5,0
"altuvjo01",46.5,8
"alvarjo02",0.1,0
"alvarlu01",-3.2,0
"alvarwi01",-0.2,1
"amalfjo01",1.8,0
"amarari01",5.1,0
"amaroru01",2.3,0
"amesre01",-4.3,0
"amezaal01",3.2,0
"anderbr01",35,3
"anderbr02",-0.9,0
"anderbr04",-0.2,0
"anderda02",5.7,0
"anderga01",25.7,3
"anderjo01",28.8,0
"anderla02",0,0
"anderma02",7.3,0
"andinro01",1.9,0
"andreiv01",-0.9,0
"andruel01",33.5,2
"andujjo01",-0.6,4
"ankieri01",5.5,0
"ansonca01",94.4,0
"anthoer01",-0.2,0
"antonjo02",0.7,6
"aparilu01",55.9,13
"appieke01",-0.4,1
"applepe01",0.5,0
"applilu01",77.6,7
"aquinlu01",-0.2,0
"archech01",-0.2,2
"archeji01",10.3,0
"arenano01",52.2,7
"ariasal01",1.9,0
"armasto01",15.8,2
"armasto02",-1.5,0
"armstsh01",0,0
"arrieja01",1.7,1
"arrigge01",0.2,0
"arroybr01",-1.2,1
"ashburi01",64.2,6
"ashbyal01",11.1,0
"ashbyan01",-0.6,2
"asprobo01",1.2,0
"asproke01",2,0
"assenpa01",0,0
"astacpe01",-2.7,0
"astrojo01",0.9,0
"auerbri01",1,0
"augusje01",NA,NA
"aukerel01",-0.1,0
"aurilri01",18.2,1
"ausmubr01",16.5,1
"austiji01",22.8,0
"averiea01",51.5,6
"averyst01",1.3,1
"avilaal01",17,1
"avilabo01",28.4,3
"avilalu01",0,0
"avilemi01",5.7,0
"axforjo01",0,0
"ayalabe01",1,0
"ayalalu01",0.2,0
"aybarer01",22.7,1
"aybarma01",0.3,0
"ayersdo01",-1.1,0
"azcuejo01",8.6,1
"backmwa01",13.1,0
"baergca01",19.6,3
"baezda01",0,1
"baezja01",25.9,2
"bagbyji02",1.4,2
"bagweje01",79.9,4
"bahnsst01",-1.2,0
"bailebi01",0.2,0
"bailebo01",28.7,0
"baileed01",27.2,6
"baileho02",0.1,0
"bailobo01",8.9,0
"baineha01",38.8,6
"bairddo01",6.5,0
"bairdo01",-0.3,0
"bakerdu01",37,2
"bakerfl01",7.8,0
"bakerfr01",62.8,0
"bakerje03",1.1,0
"bakersc02",-0.1,0
"bakopa01",-1.3,0
"balbost01",0.8,0
"baldwja01",-0.2,1
"balfogr01",0,1
"bancrda01",49.7,0
"bandoch01",1.7,0
"bandosa01",61.5,4
"bankhsc01",0,0
"bankser01",67.7,14
"bankswi01",0.2,0
"bannial01",3.6,0
"bannifl01",-0.1,1
"barajro01",4.6,0
"barbest01",-0.7,2
"bardjo01",3.3,0
"barfije01",39.4,1
"barkele01",-0.6,1
"barmecl01",14.9,0
"barneda01",8.8,0
"barneja01",0.1,0
"barneje01",0.6,0
"barnevi01",-4,0
"barrebi02",6,0
"barreji01",19.3,0
"barrema02",9.2,0
"barremi01",2.7,0
"barrere01",-2.7,1
"barrji01",-0.1,0
"barryja01",25.9,0
"barrysh01",3.6,0
"bartedi01",41.7,2
"bartlja01",18.4,1
"bartobo01",1.7,0
"bassan01",0,0
"bassech01",10.4,0
"basske01",14.7,1
"bastaan01",0,0
"bastich01",2.1,0
"batemjo01",0.9,0
"batesjo02",20.8,0
"batismi01",-1.9,0
"batisto01",13.8,2
"batteea01",18.8,5
"battijo01",6.4,0
"battsma01",1.9,0
"bauerha01",27.2,3
"bauertr01",-0.4,1
"baumafr01",1.7,0
"baumhfr01",8.1,0
"bautida01",-0.5,0
"bautide01",0,0
"bautijo01",-0.4,0
"bautijo02",36.7,6
"bayja01",24.8,3
"baylodo01",28.5,1
"beaucji01",-1.4,0
"beaumgi01",30.5,0
"beckbo01",-0.3,0
"beckebe01",8,0
"beckegl01",15.6,4
"beckejo02",0.4,3
"beckeri01",8.3,0
"beckhgo01",5.5,0
"becklja01",61.5,0
"beckro01",0,3
"bedarer01",0.1,0
"bedroca01",0,0
"bedrost01",-1,1
"beggsjo01",-0.3,0
"beimejo01",0.3,0
"belanma01",41,1
"belchti01",-0.8,0
"belinst01",0,0
"belisma01",-0.5,0
"bellbu01",66.3,5
"bellda01",15.2,0
"bellde01",13.2,0
"belleal01",40.1,5
"bellga01",1.8,4
"bellge02",20,3
"bellgu01",15.7,4
"bellhe01",-0.1,3
"bellhma01",8,0
"bellira01",-0.1,0
"belliro01",20.7,1
"bellja01",37.1,2
"beltbr01",27.6,1
"beltrad01",93.5,4
"beltrca01",70.1,9
"benchjo01",75.1,14
"bendech01",5.2,0
"benedbr01",7.3,2
"benesan01",0.2,1
"bengera01",-1.6,0
"bengobe01",0.3,0
"beniqju01",9.9,0
"benitar01",-0.1,2
"benjami01",6.7,0
