"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_all_star","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","AVG","OBP","1B","SLG","Steroids","x","y"
"1","aaronha01","Hank Aaron",3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,NA,32,21,121,328,"ML1","NL",3,1,1,9,2,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,"1",0.305,0.373,2294,0.555,0,24.9996248219033,25.2308881175135
"2","abreubo01","Bobby Abreu",2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,"PHI","NL",1,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0.291,0.395,1549,0.475,0,2.0933026659758,18.0466699496464
"3","ageeto01","Tommie Agee",1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,"NYN","NL",2,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,"0",0.255,0.318,672,0.412,0,-6.26249073373367,1.89601676907985
"4","allendi01","Dick Allen",1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,"PHI","NL",0,0,1,2,1,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,"0",0.292,0.377,1098,0.534,0,17.1488076647668,27.8684185389514
"5","alleyge01","Gene Alley",1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,"PIT","NL",2,0,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0.254,0.306,760,0.354,0,-5.95888944165622,-4.91945837881267
"6","alomaro01","Roberto Alomar",2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,97,206,"TOR","AL",10,0,0,5,0,0,4,0,"0",0,1,1,0,0,0,0,0,0,0,0,"1",0.3,0.366,1930,0.443,0,-46.7821055525172,-19.9845772463404
"7","alomasa02","Sandy Alomar",1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132,"CLE","AL",1,0,0,0,0,0,0,0,"1",0,0,1,0,0,0,0,0,0,0,0,"0",0.273,0.306,865,0.406,0,1.96600767252939,43.7067382011443
"8","aloufe01","Felipe Alou",2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135,"SFN","NL",0,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0.286,0.326,1487,0.433,0,2.26141891587559,-9.58800433702576
"9","alouma01","Matty Alou",1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101,"SFN","NL",0,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0.307,0.341,1460,0.381,0,1.08901568986097,-8.31918917159319
"10","aloumo01","Moises Alou",1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195,"MON","NL",0,0,0,2,0,0,2,0,"0",0,0,0,1,0,0,0,0,0,0,0,"0",0.303,0.369,1342,0.516,0,-18.0307279038053,-40.0038395847522
