"","Player","Team","Date announced","Drug","Penalty","Position","Response","Ref.",""
"1","Alex Sánchez","Tampa Bay Devil Rays","April 3, 2005","","10 days","OF","[a]","[6]",NA
"2","Agustín Montero","Texas Rangers","April 20, 2005","","10 days","P","[b]","[8]",NA
"3","Jamal Strong","Seattle Mariners","April 26, 2005","","10 days","OF","[c]","[10]",NA
"4","Juan Rincón","Minnesota Twins","May 2, 2005","","10 days","P","[d]","[10]",NA
"5","Rafael Betancourt","Cleveland Indians","July 8, 2005","","10 days","P","[e]","[13]",NA
"6","Rafael Palmeiro SS GG","Baltimore Orioles","August 1, 2005","Stanozolol","10 days","DH","[f]","[15]",NA
"7","Ryan Franklin†","Seattle Mariners","August 2, 2005","","10 days","P","[g]","[17]",NA
"8","Mike Morse","Seattle Mariners","September 7, 2005","","10 days","SS","[h]","[19]",NA
"9","Carlos Almanzar","Texas Rangers","October 4, 2005","","10 days","P","[i]","[21]",NA
"10","Félix Heredia","New York Mets","October 18, 2005","","10 days","P","[j]","[23]",NA
"11","Matt Lawton","New York Yankees","November 2, 2005","","10 days","OF","[k]","[25]",NA
"12","Yusaku Iriki","New York Mets","April 28, 2006","","50 games","P","[l]","[27]",NA
"13","Jason Grimsley†","Arizona Diamondbacks","June 12, 2006","","50 games","P","[m]","[29]",NA
"14","Guillermo Mota","New York Mets","November 1, 2006","","50 games","P","[n]","[31]",NA
"15","Juan Salas","Tampa Bay Devil Rays","May 7, 2007","","50 games","P","[o]","[33]",NA
"16","Neifi Pérez GG","Detroit Tigers","July 6, 2007","","25 games","UT","[p]","[36]",NA
"17","Neifi Pérez (2) GG","Detroit Tigers","August 3, 2007","","80 games","UT","[p]","[37]",NA
"18","Mike Cameron GG","San Diego Padres","October 31, 2007","Amphetamine","25 games","OF","[q]","[39]",NA
"19","Dan Serafini","Colorado Rockies","November 27, 2007","","50 games","P","[r]","[41]",NA
"20","José Guillén†","Kansas City Royals","December 6, 2007","","15 games","OF","[s]","[43]",NA
"21","Jay Gibbons†","Baltimore Orioles","December 6, 2007","","15 games","OF","[t]","[45]",NA
"22","Eliézer Alfonzo","San Francisco Giants","April 30, 2008","","50 games","C","[u]","[46]",NA
"23","J. C. Romero","Philadelphia Phillies","January 6, 2009","Androstenedione","50 games","P","[v]","[48]",NA
"24","Manny Ramirez SS","Los Angeles Dodgers","May 7, 2009","Human chorionic gonadotropin","50 games","OF","[w]","[50]",NA
"25","Edinson Vólquez","Cincinnati Reds","April 20, 2010","","50 games","P","[x]","[52]",NA
"26","Manny Ramirez (2) SS","Tampa Bay Rays","April 8, 2011","","100 games","OF","[y]","[53]",NA
"27","Eliézer Alfonzo (2)","Colorado Rockies","September 14, 2011","","48 games[A]","C","","[54]",NA
"28","Guillermo Mota (2)","San Francisco Giants","May 7, 2012","Clenbuterol","100 games","P","","[55]",NA
"29","Freddy Galvis","Philadelphia Phillies","June 19, 2012","Clostebol","50 games","UT","[z]","[56]",NA
"30","Marlon Byrd","Free agent","June 25, 2012","Tamoxifen","50 games","OF","[aa]","[57]",NA
"31","Melky Cabrera","San Francisco Giants","August 15, 2012","Testosterone","50 games","OF","[ab]","[58]",NA
"32","Bartolo Colón","Oakland Athletics","August 22, 2012","Testosterone","50 games","P","[ac]","[59]",NA
"33","Yasmani Grandal","San Diego Padres","November 7, 2012","Testosterone","50 games","C","[ad]","[61]",NA
"34","Carlos Ruiz","Philadelphia Phillies","November 27, 2012","Amphetamine","25 games","C","[ae]","[62]",NA
"35","Ryan Braun SS MVP","Milwaukee Brewers","July 22, 2013","","Season (65 games)","OF","[af]","[63]",NA
"36","Nelson Cruz","Texas Rangers","August 5, 2013","","50 games","OF","[ag]","[64]",NA
"37","Jhonny Peralta","Detroit Tigers","August 5, 2013","","50 games","SS","[ah]","[65]",NA
"38","Everth Cabrera","San Diego Padres","August 5, 2013","","50 games","SS","","[66]",NA
"39","Antonio Bastardo","Philadelphia Phillies","August 5, 2013","","50 games","P","[ai]","[67]",NA
"40","Francisco Cervelli","New York Yankees","August 5, 2013","","50 games","C","[aj]","[68]",NA
"41","Alex Rodriguez SS GG MVP","New York Yankees","August 5, 2013","Testosterone, HGH","2014 season (162 games)^[B]","3B","[ak]","[71]",NA
"42","Miguel Tejada†SS MVP","Kansas City Royals","August 17, 2013","Amphetamine","105 games^","UT","[al]","[73]",NA
"43","Troy Patton","Baltimore Orioles","December 20, 2013","Amphetamine","25 games","P","[am]","[74]",NA
"44","Cameron Maybin","San Diego Padres","July 23, 2014","Amphetamine","25 games","OF","[an]","[75]",NA
"45","Chris Davis","Baltimore Orioles","September 12, 2014","Adderall","25 Games","1B","","[76]",NA
"46","David Rollins","Seattle Mariners","March 27, 2015","Stanozolol","80 games","P","","[77]",NA
"47","Ervin Santana","Minnesota Twins","April 3, 2015","Stanozolol","80 games","P","[ao]","[78]",NA
"48","Jenrry Mejía","New York Mets","April 11, 2015","Stanozolol","80 games","P","[ap]","[79]",NA
"49","Andrew McKirahan","Atlanta Braves","April 20, 2015","Ipamorelin","80 games","P","[aq]","[80]",NA
"50","Jenrry Mejía (2)","New York Mets","July 28, 2015","Boldenone, Stanozolol","162 games^","P","","[81]",NA
"51","Cody Stanley","St. Louis Cardinals","September 12, 2015","CDMT","80 games","C","","[82]",NA
"52","Jenrry Mejía (3)","New York Mets","February 12, 2016","Boldenone","Permanent^[C]","P","","[83]",NA
"53","Abraham Almonte","Cleveland Indians","February 26, 2016","Boldenone","80 games","OF","","[84]",NA
"54","Daniel Stumpf","Philadelphia Phillies","April 14, 2016","CDMT","80 games","P","","[85]",NA
"55","Chris Colabello","Toronto Blue Jays","April 22, 2016","CDMT","80 games","1B","[ar]","[87]",NA
"56","Dee Gordon SS GG","Miami Marlins","April 29, 2016","Clostebol, Testosterone","80 games","2B","","[88]",NA
"57","Josh Ravin","Los Angeles Dodgers","May 2, 2016","Pralmorelin","80 games","P","","[89]",NA
"58","Adalberto Mondesí","Kansas City Royals","May 10, 2016","Clenbuterol","50 games[D]","SS","","[90][91]",NA
"59","Marlon Byrd (2)","Cleveland Indians","June 1, 2016","Ipamorelin","162 games^","OF","","[92]",NA
