"","Player","birthCountry","playerID","MedianIP","weight","height","throws","Censored","PrimaryPitch","numDaysUntilTJ","Fast_Off"
"1","Aaron Ashby","USA","ashbyaa01",69.5,181,74,"L","Non-Censored","Slider",NA,"Offspeed"
"2","Aaron Brooks","USA","brookaa01",9.3,230,76,"R","Censored","Sinker",NA,"Fastball"
"3","Aaron Civale","USA","civalaa01",85.5,215,74,"R","Non-Censored","Cutter",NA,"Fastball"
"4","Aaron Loup","USA","loupaa01",39,210,71,"L","Non-Censored","Sinker",NA,"Fastball"
"5","Aaron Nola","USA","nolaaa01",174.35,200,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"6","Aaron Sanchez","USA","sanchaa01",35.65,212,76,"R","Non-Censored","Sinker",NA,"Fastball"
"7","Aaron Slegers","USA","slegeaa01",15.3,260,82,"R","Censored","Sinker",NA,"Fastball"
"8","Adam Cimber","USA","cimbead01",37.3,195,75,"R","Non-Censored","Sinker",NA,"Fastball"
"9","Adam Conley","USA","conlead01",63.85,209,75,"L","Censored","4seamFastball",NA,"Fastball"
"10","Adam Kolarek","USA","kolarad01",17.7,215,75,"L","Censored","Sinker",NA,"Fastball"
"11","Adam Morgan","USA","morgaad01",49.3,200,73,"L","Censored","Slider",NA,"Offspeed"
"12","Adam Oller","USA","ollerad01",74.3,225,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"13","Adam Ottavino","USA","ottavad01",63.5,246,77,"R","Non-Censored","Slider",1804,"Offspeed"
"14","Adam Plutko","USA","plutkad01",56.3,215,75,"R","Censored","4seamFastball",NA,"Fastball"
"15","Adam Wainwright","USA","wainwad01",191.7,230,79,"R","Non-Censored","Curveball",1996,"Offspeed"
"16","Adam Warren","USA","warread01",32.65,224,73,"R","Non-Censored","Slider",2620,"Offspeed"
"17","Adam Wilk","USA","wilkad01",10.3,180,74,"L","Censored","4seamFastball",NA,"Fastball"
"18","Adbert Alzolay","Venezuela","alzolad01",17.3,208,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"19","Addison Reed","USA","reedad01",52,230,76,"R","Censored","4seamFastball",NA,"Fastball"
"20","Adonis Medina","D.R.","medinad01",7.7,187,73,"R","Non-Censored","Sinker",NA,"Fastball"
"21","Adrian Houser","USA","housead01",79.35,222,75,"R","Non-Censored","Sinker",299,"Fastball"
"22","Adrian Morejon","Cuba","morejad01",13.65,224,71,"L","Non-Censored","4seamFastball",639,"Fastball"
"23","AJ Ramos","USA","ramosaj01",29.7,200,70,"R","Censored","Slider",NA,"Offspeed"
"24","Akeel Morris","V.I.","morriak01",7.3,205,73,"R","Censored","4seamFastball",NA,"Fastball"
"25","Alan Busenitz","USA","busenal01",28.5,180,73,"R","Censored","4seamFastball",NA,"Fastball"
"26","Albert Abreu","D.R.","abreual01",8.7,190,74,"R","Non-Censored","Sinker",NA,"Fastball"
"27","Alek Manoah","USA","manoaal01",154.2,285,78,"R","Non-Censored","4seamFastball",NA,"Fastball"
"28","Alex Claudio","P.R.","claudal01",32.7,187,75,"L","Non-Censored","Sinker",NA,"Fastball"
"29","Alex Cobb","USA","cobbal01",136.3,205,75,"R","Non-Censored","Sinker",1474,"Fastball"
"30","Alex Lange","USA","langeal01",49.5,202,75,"R","Non-Censored","Curveball",NA,"Offspeed"
"31","Alex McRae","USA","mcraeal01",4.65,220,74,"R","Censored","Sinker",NA,"Fastball"
"32","Alex Meyer","USA","meyeral01",12.7,225,81,"R","Censored","Curveball",NA,"Offspeed"
"33","Alex Reyes","USA","reyesal02",19.7,220,76,"R","Non-Censored","4seamFastball",191,"Fastball"
"34","Alex Vesia","USA","vesiaal01",40,209,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"35","Alex Wells","Australia","wellsal01",23.2,195,73,"L","Censored","4seamFastball",NA,"Fastball"
"36","Alex Young","USA","youngal01",34,220,75,"L","Non-Censored","Curveball",NA,"Offspeed"
"37","Amir Garrett","USA","garream01",51.85,239,77,"L","Non-Censored","Slider",NA,"Offspeed"
