"","x","y","eligible","inducted"
"1",1,1,1,1
"2",2,1,1,1
"3",3,1,1,1
"4",4,1,1,1
"5",5,1,1,1
"6",6,1,1,1
"7",7,1,1,1
"8",8,1,1,1
"9",9,1,1,1
"10",10,1,1,1
"11",11,1,1,1
"12",12,1,1,1
"13",13,1,1,1
"14",14,1,1,1
"15",15,1,1,1
"16",16,1,1,1
"17",17,1,1,1
"18",18,1,1,1
"19",19,1,1,1
"20",20,1,1,1
"21",21,1,1,1
"22",22,1,1,1
"23",23,1,1,1
"24",24,1,1,1
"25",25,1,1,1
"26",26,1,1,1
"27",27,1,1,1
"28",28,1,1,1
"29",29,1,1,1
"30",30,1,1,1
"31",31,1,1,1
"32",32,1,1,1
"33",33,1,1,1
"34",34,1,1,1
"35",35,1,1,1
"36",36,1,1,1
"37",37,1,1,1
"38",38,1,1,1
"39",39,1,1,1
"40",40,1,1,1
"41",41,1,1,1
"42",42,1,1,1
"43",43,1,1,1
"44",44,1,1,1
"45",45,1,1,1
"46",46,1,1,1
"47",47,1,1,1
"48",48,1,1,1
"49",49,1,1,1
"50",50,1,1,1
"51",51,1,1,1
"52",52,1,1,1
"53",53,1,1,1
"54",54,1,1,1
"55",55,1,1,1
"56",56,1,1,1
"57",57,1,1,1
"58",58,1,1,1
"59",59,1,1,1
"60",60,1,1,1
"61",61,1,1,1
"62",62,1,1,1
"63",63,1,1,1
"64",64,1,1,1
"65",65,1,1,1
"66",66,1,1,1
"67",67,1,1,1
"68",68,1,1,1
"69",69,1,1,1
"70",70,1,1,1
"71",71,1,1,1
"72",72,1,1,1
"73",73,1,1,1
"74",74,1,1,1
"75",75,1,1,1
"76",76,1,1,1
"77",77,1,1,1
"78",78,1,1,1
"79",79,1,1,1
"80",80,1,1,1
"81",81,1,1,1
"82",82,1,1,1
"83",83,1,1,1
"84",84,1,1,1
"85",85,1,1,1
"86",86,1,1,1
"87",87,1,1,1
"88",88,1,1,1
"89",89,1,1,1
"90",90,1,1,1
"91",91,1,1,1
"92",92,1,1,1
"93",93,1,1,1
"94",94,1,1,1
"95",95,1,1,1
"96",96,1,1,1
"97",97,1,1,1
"98",98,1,1,1
"99",99,1,1,1
"100",100,1,1,1
"101",1,2,1,1
"102",2,2,1,1
"103",3,2,1,1
"104",4,2,1,1
"105",5,2,1,1
"106",6,2,1,1
"107",7,2,1,1
"108",8,2,1,1
"109",9,2,1,1
"110",10,2,1,1
"111",11,2,1,1
"112",12,2,1,1
"113",13,2,1,1
"114",14,2,1,1
"115",15,2,1,1
"116",16,2,1,1
"117",17,2,1,1
"118",18,2,1,1
"119",19,2,1,1
"120",20,2,1,1
"121",21,2,1,1
"122",22,2,1,1
"123",23,2,1,1
"124",24,2,1,1
"125",25,2,1,1
"126",26,2,1,1
"127",27,2,1,1
"128",28,2,1,1
"129",29,2,1,1
"130",30,2,1,1
"131",31,2,1,1
"132",32,2,1,1
"133",33,2,1,1
"134",34,2,1,1
"135",35,2,1,1
"136",36,2,1,1
"137",37,2,1,1
"138",38,2,1,1
"139",39,2,1,1
"140",40,2,1,1
"141",41,2,1,1
"142",42,2,1,1
"143",43,2,1,1
"144",44,2,1,1
"145",45,2,1,1
"146",46,2,1,1
"147",47,2,1,1
"148",48,2,1,1
"149",49,2,1,1
"150",50,2,1,1
"151",51,2,1,1
"152",52,2,1,1
"153",53,2,1,1
"154",54,2,1,1
"155",55,2,1,1
"156",56,2,1,1
"157",57,2,1,1
"158",58,2,1,1
"159",59,2,1,1
"160",60,2,1,1
"161",61,2,1,1
"162",62,2,1,1
"163",63,2,1,1
"164",64,2,1,1
"165",65,2,1,1
"166",66,2,1,1
"167",67,2,1,1
"168",68,2,1,1
"169",69,2,1,1
"170",70,2,1,1
"171",71,2,1,1
"172",72,2,1,1
"173",73,2,1,1
"174",74,2,1,1
"175",75,2,1,1
"176",76,2,1,1
"177",77,2,1,1
"178",78,2,1,1
"179",79,2,1,1
"180",80,2,1,1
"181",81,2,1,1
"182",82,2,1,1
"183",83,2,1,1
"184",84,2,1,1
"185",85,2,1,1
"186",86,2,1,1
"187",87,2,1,1
"188",88,2,1,1
"189",89,2,1,1
"190",90,2,1,1
"191",91,2,1,1
"192",92,2,1,1
"193",93,2,1,1
"194",94,2,1,1
"195",95,2,1,1
"196",96,2,1,1
"197",97,2,1,1
"198",98,2,1,1
"199",99,2,1,1
"200",100,2,1,1
"201",1,3,1,0
"202",2,3,1,0
"203",3,3,1,0
"204",4,3,1,0
